"Player","Team","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC","REC_YDS","REC_TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SFhigh","273.0","1,290.3","11.6","69.9","567.6","4.8","1.7","281.0"
"","high","314.8","1,453.0","13.3","76.3","614.0","7.0","1.2","330.6"
"","low","258.0","1,220.7","11.0","67.0","526.5","3.9","2.0","267.8"
"Breece Hall","NYJhigh","249.2","1,129.3","8.1","66.9","529.7","3.8","1.4","234.7"
"","high","309.6","1,359.7","9.0","75.0","646.0","8.0","1.0","280.2"
"","low","217.0","932.0","7.0","55.0","408.0","2.0","2.0","217.8"
"Bijan Robinson","ATLhigh","244.0","1,112.8","7.4","65.5","534.6","4.3","2.2","230.4"
"","high","294.3","1,268.5","8.1","72.3","604.0","8.0","1.6","262.2"
"","low","224.0","1,031.7","6.0","55.0","414.0","2.0","3.0","219.0"
"Jonathan Taylor","INDhigh","283.3","1,269.4","10.1","37.2","278.8","1.6","1.4","222.1"
"","high","311.1","1,435.3","12.0","45.0","321.0","2.0","1.0","240.8"
"","low","255.0","1,122.0","9.0","32.0","239.6","1.0","2.0","210.3"
"Saquon Barkley","PHIhigh","269.3","1,138.6","9.1","48.0","344.3","3.0","1.7","217.4"
"","high","295.3","1,238.5","14.0","53.0","400.0","6.0","1.0","262.0"
"","low","247.0","1,037.0","7.0","44.0","311.0","2.0","2.0","189.6"
"Kyren Williams","LARhigh","254.5","1,148.3","10.2","35.5","259.9","2.0","1.7","210.7"
"","high","277.3","1,218.9","12.0","37.0","284.6","3.0","1.2","224.5"
"","low","230.8","1,075.0","9.0","34.5","232.0","1.0","2.0","207.1"
"Derrick Henry","BALhigh","266.6","1,193.9","11.2","24.4","195.5","0.9","1.0","209.0"
"","high","301.1","1,360.2","12.0","27.2","228.0","1.2","0.9","223.3"
"","low","250.0","1,059.4","10.3","20.0","145.0","0.0","1.0","201.7"
"Isiah Pacheco","KChigh","238.6","1,065.7","8.5","41.0","273.1","2.0","1.4","194.1"
"","high","279.0","1,226.6","11.0","45.5","318.0","2.0","1.0","237.9"
"","low","220.2","977.9","7.0","35.0","235.0","2.0","2.0","183.0"
"Jahmyr Gibbs","DEThigh","202.5","941.3","8.4","54.6","390.0","2.2","1.4","194.0"
"","high","243.9","1,077.7","10.0","63.0","435.3","3.4","1.0","233.2"
"","low","180.0","871.7","7.0","47.0","331.0","1.0","2.0","182.0"
"Travis Etienne Jr.","JAChigh","250.0","1,024.9","8.2","46.2","358.7","1.2","1.3","192.0"
"","high","272.9","1,160.5","11.0","50.0","415.0","1.9","0.9","226.0"
"","low","225.2","905.0","7.0","44.0","330.5","1.0","2.0","178.4"
"Josh Jacobs","GBhigh","250.6","1,038.6","8.3","38.5","292.7","1.1","1.0","187.4"
"","high","275.0","1,131.7","11.0","46.0","320.4","2.2","1.0","216.4"
"","low","228.0","945.5","6.0","34.0","255.0","0.0","1.1","169.3"
"James Cook","BUFhigh","231.7","1,033.4","5.1","45.0","382.5","2.8","1.4","186.3"
"","high","279.0","1,289.0","6.1","49.2","421.0","4.0","1.0","206.0"
"","low","207.3","908.0","4.0","40.0","309.0","2.0","2.0","172.9"
"De'Von Achane","MIAhigh","175.1","907.4","7.3","45.5","347.6","2.9","0.9","184.4"
"","high","222.0","1,033.5","9.0","54.1","391.9","5.0","0.8","225.9"
"","low","144.0","750.4","6.0","39.0","295.0","2.0","1.0","164.0"
"Joe Mixon","HOUhigh","244.8","961.8","7.6","40.0","303.9","2.2","0.9","183.2"
"","high","277.4","1,113.3","10.0","43.0","362.0","3.0","0.6","207.3"
"","low","214.9","883.7","6.0","36.7","277.0","1.0","1.0","171.8"
"Rachaad White","TBhigh","238.8","924.9","6.5","53.5","403.7","2.4","1.7","183.2"
"","high","282.7","1,106.6","8.0","59.0","452.0","3.0","1.2","219.6"
"","low","213.6","865.0","5.0","50.0","359.0","1.7","2.0","173.2"
"Kenneth Walker III","SEAhigh","240.3","1,004.0","8.9","29.1","225.0","1.0","0.9","180.9"
"","high","268.9","1,175.2","12.0","30.8","244.0","1.3","0.7","199.8"
"","low","220.0","858.0","7.0","27.8","201.2","0.8","1.0","170.0"
"Alvin Kamara","NOhigh","204.5","801.9","5.3","68.7","486.0","2.3","0.9","172.5"
"","high","251.3","1,025.9","6.7","78.8","526.0","3.8","0.8","217.7"
"","low","180.7","718.0","4.0","57.0","421.0","1.8","1.0","154.0"
"David Montgomery","DEThigh","202.7","893.3","9.8","22.4","168.0","0.8","0.9","168.1"
"","high","230.0","968.0","10.7","24.0","183.0","1.4","0.7","187.3"
"","low","181.3","795.3","9.0","21.7","155.0","0.0","1.0","155.0"
