"Player","Team","REC","REC_YDS","REC_TDS","FL","FPTS"
" ","",""
"Travis Kelce","KChigh","89.5","964.1","7.5","0.8","140.7"
"","high","101.0","1,149.0","8.5","0.5","205.1"
"","low","80.0","837.8","7.0","1.0","125.6"
"Sam LaPorta","DEThigh","86.3","894.0","7.7","0.4","134.9"
"","high","99.3","1,045.2","9.1","0.0","204.9"
"","low","81.0","839.0","6.6","1.0","125.9"
"Mark Andrews","BALhigh","71.9","869.8","7.9","0.5","133.4"
"","high","83.6","991.1","11.0","0.0","194.4"
"","low","65.0","819.2","7.0","1.0","123.5"
"George Kittle","SFhigh","65.4","881.6","6.0","0.4","123.4"
"","high","71.0","915.0","7.0","0.0","188.3"
"","low","61.0","845.1","4.7","1.0","112.4"
"Kyle Pitts","ATLhigh","67.8","875.5","5.1","0.4","117.6"
"","high","82.1","1,015.9","6.6","0.0","177.9"
"","low","59.9","822.4","4.2","1.0","107.2"
"Trey McBride","ARIhigh","86.0","881.8","5.1","0.5","117.6"
"","high","100.2","1,039.2","6.9","0.0","190.0"
"","low","80.0","793.9","3.6","1.0","100.2"
"Dalton Kincaid","BUFhigh","82.2","822.0","5.4","0.8","112.9"
"","high","94.9","942.3","7.0","0.5","186.5"
"","low","75.3","735.9","4.0","1.0","97.0"
"Jake Ferguson","DALhigh","70.7","736.2","5.9","0.4","108.1"
"","high","75.3","773.0","7.0","0.0","167.1"
"","low","65.4","675.2","5.0","1.0","100.3"
"David Njoku","CLEhigh","69.9","771.9","5.4","1.2","107.4"
"","high","75.0","879.0","7.0","0.5","165.1"
"","low","63.9","711.0","4.8","2.0","102.4"
"Evan Engram","JAChigh","85.6","788.4","4.4","0.9","103.2"
"","high","92.0","831.0","5.8","0.7","165.5"
"","low","73.0","705.0","3.1","1.0","96.2"
"Brock Bowers","LVhigh","62.6","696.3","4.6","1.1","95.0"
"","high","68.2","752.0","5.0","0.4","163.3"
"","low","56.7","650.4","3.7","2.0","87.1"
"Dallas Goedert","PHIhigh","65.4","690.7","4.0","0.5","92.2"
"","high","68.0","743.0","6.0","0.0","163.2"
"","low","62.0","646.0","3.0","1.0","82.7"
"Dalton Schultz","HOUhigh","56.9","606.8","4.9","0.8","88.3"
"","high","59.0","656.0","6.0","0.4","149.0"
"","low","53.3","539.1","4.1","1.0","78.9"
"Taysom Hill","NOhigh","27.8","263.7","2.1","0.3","82.8"
"","high","30.0","289.9","2.2","0.0","118.1"
"","low","22.0","226.0","2.0","0.7","71.9"
"Pat Freiermuth","PIThigh","55.7","582.7","4.2","0.5","82.6"
"","high","65.0","652.0","5.0","0.0","136.7"
"","low","46.9","471.8","3.2","1.0","66.1"
"T.J. Hockenson","MINhigh","58.3","583.2","3.2","0.8","76.1"
"","high","64.0","668.0","4.0","0.4","143.8"
"","low","42.0","371.5","2.3","1.0","51.0"
"Hunter Henry","NEhigh","47.8","495.0","4.2","0.1","74.8"
"","high","56.0","565.0","7.0","0.0","136.5"
"","low","44.0","437.6","2.5","0.3","66.0"
"Cole Kmet","CHIhigh","50.1","495.7","4.1","0.4","73.5"
"","high","59.0","605.0","7.0","0.0","129.3"
"","low","37.9","368.0","2.7","1.0","52.2"
"Tyler Conklin","NYJhigh","53.3","532.1","3.3","0.1","73.0"
"","high","59.0","601.0","4.0","0.0","115.9"
"","low","47.8","460.3","2.8","0.3","62.2"
"Cade Otton","TBhigh","49.2","489.8","3.7","0.4","70.6"
"","high","55.0","525.0","4.0","0.0","124.3"
"","low","43.2","455.9","3.3","1.0","63.0"
"Luke Musgrave","GBhigh","46.7","489.1","3.4","0.1","69.1"
"","high","58.0","606.0","4.0","0.0","129.5"
"","low","34.7","341.4","2.1","0.2","46.3"
"Juwan Johnson","NOhigh","40.5","441.0","4.1","0.1","68.7"
"","high","49.0","532.0","6.0","0.0","85.9"
"","low","32.0","359.0","3.0","0.2","61.3"
"Chigoziem Okonkwo","TENhigh","48.2","513.3","2.7","0.4","66.7"
"","high","52.0","587.7","3.0","0.0","99.1"
"","low","41.0","417.0","2.0","1.0","57.0"
"Noah Fant","SEAhigh","45.9","489.8","2.8","0.1","65.4"
"","high","50.0","517.4","3.0","0.0","118.6"
"","low","41.0","455.8","1.9","0.2","56.9"
"Isaiah Likely","BALhigh","34.2","411.5","3.9","0.1","64.4"
"","high","41.3","547.0","8.0","0.0","95.0"
"","low","22.0","255.0","2.0","0.2","37.5"
"Jonnu Smith","MIAhigh","37.8","415.2","2.9","0.4","57.8"
"","high","45.0","524.0","4.0","0.0","90.4"
"","low","31.3","364.0","2.0","1.0","50.5"
"Hayden Hurst","LAChigh","40.6","390.6","2.9","0.1","56.0"
"","high","54.4","468.8","3.2","0.0","68.8"
"","low","28.0","288.0","2.0","0.3","48.0"
"Mike Gesicki","CINhigh","36.2","356.6","3.1","0.1","54.4"
"","high","44.1","417.0","5.0","0.0","66.5"
"","low","26.0","285.0","2.0","0.2","46.5"
"Ben Sinnott","WAShigh","36.8","376.1","2.4","0.4","51.4"
"","high","45.0","462.0","3.0","0.0","93.8"
"","low","26.0","272.0","1.7","1.0","39.2"
"Zach Ertz","WAShigh","38.0","351.0","2.7","0.1","51.0"
"","high","54.0","486.0","5.0","0.0","80.1"
"","low","31.6","298.4","2.0","0.2","42.7"
"Tucker Kraft","GBhigh","33.9","354.0","2.6","0.1","50.7"
"","high","38.5","376.3","3.0","0.0","87.5"
"","low","31.2","319.9","2.0","0.3","45.7"
"Greg Dulcich","DENhigh","34.6","387.1","1.9","0.1","50.2"
"","high","39.6","526.0","2.3","0.0","79.1"
"","low","29.1","328.9","1.4","0.2","41.2"
"Dawson Knox","BUFhigh","28.3","297.5","3.3","0.1","49.3"
"","high","32.0","327.0","5.0","0.0","78.7"
"","low","22.0","215.0","2.0","0.2","33.5"
"Gerald Everett","CHIhigh","32.9","306.0","2.6","0.1","45.9"
"","high","44.0","404.0","4.0","0.0","62.4"
"","low","25.0","254.0","2.0","0.4","38.1"
"Ja'Tavion Sanders","CARhigh","29.9","311.2","2.3","0.4","44.2"
"","high","38.0","355.0","3.0","0.0","85.5"
"","low","19.5","197.9","1.2","1.0","26.8"
"Tyler Higbee","LARhigh","31.5","321.4","2.0","0.1","44.1"
"","high","39.0","391.0","2.7","0.0","59.1"
"","low","23.0","241.0","1.4","0.2","40.3"
"Michael Mayer","LVhigh","29.4","317.0","2.0","0.1","43.6"
"","high","37.0","435.0","3.0","0.0","67.7"
"","low","24.2","241.9","1.4","0.2","34.1"
"Daniel Bellinger","NYGhigh","33.2","314.5","2.0","0.1","43.1"
"","high","47.0","456.0","4.0","0.0","69.6"
"","low","21.9","179.6","0.9","0.2","22.9"
"Theo Johnson","NYGhigh","32.3","312.8","2.0","0.6","42.1"
"","high","39.0","370.0","2.0","0.2","47.1"
"","low","22.0","217.0","2.0","1.0","33.7"
"Kylen Granson","INDhigh","28.4","307.3","1.9","0.1","41.9"
"","high","36.4","367.6","2.4","0.0","50.9"
"","low","17.0","173.0","1.0","0.2","39.7"
"Jelani Woods","INDhigh","26.0","292.0","2.0","0.0","41.2"
