"Player","Team","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DALhigh","116.1","1,487.9","9.7","9.8","68.2","0.8","1.1","216.4"
"","high","120.7","1,590.0","10.8","12.6","85.8","1.0","1.0","325.9"
"","low","112.0","1,407.1","8.6","4.6","26.3","0.2","1.2","204.0"
"Tyreek Hill","MIAhigh","110.1","1,539.6","9.9","5.2","30.5","0.1","1.0","215.0"
"","high","116.9","1,598.0","11.0","6.6","39.6","0.3","0.9","327.4"
"","low","105.7","1,422.6","7.6","4.0","24.0","0.0","1.0","191.3"
"Ja'Marr Chase","CINhigh","106.5","1,357.1","9.1","3.0","12.6","0.1","0.7","190.6"
"","high","116.4","1,437.3","10.1","4.4","24.7","0.2","0.0","289.3"
"","low","98.0","1,299.0","8.0","0.0","0.0","0.0","1.0","181.0"
"Justin Jefferson","MINhigh","105.1","1,444.5","7.4","1.2","3.9","0.0","1.0","187.4"
"","high","114.6","1,517.0","9.3","3.0","12.0","0.1","0.9","288.9"
"","low","97.0","1,354.5","6.0","0.0","-3.0","0.0","1.0","175.7"
"Amon-Ra St. Brown","DEThigh","110.9","1,354.7","8.2","4.5","31.3","0.1","0.9","186.5"
"","high","115.1","1,478.0","10.0","6.0","43.0","0.3","0.8","283.1"
"","low","107.0","1,263.7","7.0","2.4","13.4","0.0","1.0","174.6"
"A.J. Brown","PHIhigh","92.9","1,318.4","8.2","0.0","1.4","0.0","1.3","178.7"
"","high","98.7","1,365.0","9.0","0.0","6.0","0.0","1.0","270.7"
"","low","89.0","1,251.4","7.6","0.0","0.0","0.0","2.0","170.0"
"Puka Nacua","LARhigh","94.7","1,299.8","7.2","8.9","54.7","0.2","0.7","178.2"
"","high","102.0","1,449.0","8.0","12.4","77.5","0.7","0.0","263.8"
"","low","88.5","1,227.0","5.9","2.3","13.2","0.0","1.0","169.6"
"Garrett Wilson","NYJhigh","95.2","1,189.4","8.1","3.9","19.2","0.1","1.3","167.7"
"","high","105.5","1,256.0","9.1","7.1","40.4","0.2","0.9","273.7"
"","low","80.5","1,139.9","7.0","0.0","0.0","0.0","2.0","150.0"
"Deebo Samuel Sr.","SFhigh","67.0","926.1","5.9","33.9","199.4","3.0","1.0","163.8"
"","high","74.7","985.0","6.9","43.0","238.0","4.0","0.9","228.3"
"","low","62.2","895.0","5.0","28.9","164.6","2.0","1.0","158.3"
"Mike Evans","TBhigh","75.5","1,120.7","8.4","0.0","1.2","0.0","0.5","161.6"
"","high","80.0","1,154.0","10.0","0.0","5.0","0.0","0.0","230.3"
"","low","70.0","1,097.7","7.4","0.0","0.0","0.0","1.0","157.9"
"Chris Olave","NOhigh","89.8","1,204.3","6.5","0.0","1.0","0.0","0.6","158.4"
"","high","95.4","1,262.1","7.0","0.0","5.0","0.0","0.0","240.1"
"","low","86.5","1,176.0","5.6","0.0","0.0","0.0","1.0","151.0"
"Nico Collins","HOUhigh","78.4","1,150.0","7.2","1.4","8.6","0.0","0.5","158.3"
"","high","84.3","1,274.2","8.0","4.4","25.0","0.2","0.0","231.1"
"","low","75.0","1,058.9","6.6","0.0","0.0","0.0","1.0","148.5"
"Marvin Harrison Jr.","ARIhigh","88.4","1,177.3","6.8","0.5","3.6","0.0","1.5","155.9"
"","high","97.4","1,299.0","8.0","2.0","11.0","0.0","0.5","235.8"
